price,bedrooms,postcode,latitude,longitude,host_listings_count
826.0,1.0,3166,-37.8996,145.11447,4.0
2135.0,1.0,3000,-37.81266,144.96313,2.0
770.0,1.0,3777,-37.63282,145.49766,1.0
1155.0,2.0,3011,-37.80257,144.89593,1.0
910.0,2.0,3058,-37.75581,144.96868,1.0
623.0,1.0,3004,-37.84350204467773,144.97598266601562,1.0
1050.0,1.0,3051,-37.80455,144.95113,1.0
784.0,1.0,3065,-37.80428,144.97916,1.0
1750.0,2.0,3002,-37.81663513183594,144.97752380371094,2.0
693.0,1.0,3011,-37.80584,144.8983,2.0
686.0,1.0,3205,-37.83673,144.96811,12.0
2009.0,2.0,3065,-37.79766038687084,144.98191291203054,1.0
1190.0,1.0,3141,-37.83663,144.99344,1.0
1645.0,2.0,3065,-37.80535,144.97934,4.0
854.0,1.0,3056,-37.76925,144.95275,1.0
3500.0,1.0,3000,-37.81021,144.96405,4.0
1897.0,2.0,3777,-37.65658,145.52769,1.0
644.0,1.0,3134,-37.79804,145.22272,1.0
3332.0,2.0,3070,-37.78773,145.00169,78.0
1708.0,1.0,3000,-37.81745,144.96457,4.0
1400.0,1.0,3066,-37.80313,144.98553,1.0
1274.0,2.0,3065,-37.80055,144.9765,2.0
798.0,1.0,3182,-37.86624,144.98286,1.0
2947.0,3.0,3182,-37.85662,144.98615,8.0
1407.0,1.0,3777,-37.64839,145.53486,1.0
2702.0,4.0,3182,-37.86433,144.97788,2.0
651.0,1.0,3183,-37.87468,144.98824,3.0
4060.0,4.0,3205,-37.83392,144.95889,2.0
770.0,1.0,3141,-37.83363,144.99019,1.0
1162.0,2.0,3141,-37.8369,144.99293,3.0
602.0,1.0,3065,-37.80759,144.97821,1.0
1113.0,2.0,3056,-37.76158,144.97089,1.0
1211.0,,3000,-37.813,144.9612,2.0
840.0,1.0,3057,-37.77088,144.97016,1.0
3500.0,2.0,3183,-37.86535,144.99658,2.0
910.0,1.0,3182,-37.86686,144.97842,23.0
840.0,1.0,3004,-37.84972,144.9798,1.0
1743.0,2.0,3057,-37.77628,144.96776,1.0
770.0,1.0,3000,-37.80818,144.96429,2.0
840.0,1.0,3141,-37.83888,144.99477,23.0
665.0,2.0,3184,-37.88115,144.98964,1.0
1008.0,2.0,3000,-37.80808,144.96617,31.0
798.0,1.0,3000,-37.810349,144.971649,2.0
2926.0,3.0,3503,-37.79619,144.9684,1.0
1008.0,1.0,3000,-37.8093,144.95981,4.0
1337.0,1.0,3000,-37.81496,144.96699,4.0
987.0,1.0,3004,-37.85496,144.98151,1.0
1687.0,2.0,3000,-37.81672,144.96539,1.0
1393.0,2.0,3006,-37.82165,144.9654,1.0
1722.0,2.0,3121,-37.82007,145.00263,88.0
2093.0,2.0,3004,-37.82443,144.96031,41.0
1127.0,2.0,3121,-37.82265,145.00422,1.0
1575.0,2.0,3205,-37.83339,144.96803,1.0
1414.0,2.0,3121,-37.82106778320402,144.99955354821407,1.0
1148.0,1.0,3182,-37.85985,144.9751,2.0
1008.0,2.0,3000,-37.81616,144.95189,31.0
1778.0,2.0,3066,-37.80726,144.98614,1.0
1610.0,2.0,3071,-37.75373,145.00409,1.0
2450.0,3.0,3055,-37.75841,144.95131,3.0
1421.0,2.0,3000,-37.81022,144.96627,28.0
987.0,2.0,3777,-37.67881,145.53708,1.0
1050.0,1.0,3121,-37.82338,144.99294,4.0
994.0,1.0,3000,-37.81651,144.96541,4.0
1624.0,2.0,3096,-37.6586,145.18972,1.0
1442.0,2.0,3777,-37.66259,145.52888,1.0
938.0,1.0,3141,-37.84169,144.99776,3.0
945.0,1.0,3206,-37.8433,144.9583,1.0
875.0,2.0,3125,-37.85919,145.09944,1.0
1561.0,2.0,3503,-37.79634,144.96669,4.0
546.0,1.0,3070,-37.77546,144.99077,2.0
1575.0,3.0,3777,-37.70359,145.53005,1.0
1547.0,2.0,3182,-37.86092,144.98036,2.0
840.0,1.0,3000,-37.81501,144.96076,1.0
2877.0,4.0,3121,-37.82228,145.00857,3.0
840.0,2.0,3130,-37.81923,145.14731,5.0
910.0,1.0,3000,-37.81534,144.96564,1.0
2345.0,1.0,3808,-38.01852,145.42082,1.0
2975.0,1.0,3787,-37.86149,145.35979,5.0
2037.0,2.0,3000,-37.80986,144.95638,4.0
1211.0,1.0,3006,-37.82948,144.96931,2.0
1071.0,1.0,3000,-37.8137,144.97324,1.0
980.0,1.0,3000,-37.81515,144.95271,1.0
1253.0,1.0,3068,-37.7933,144.97955,4.0
1120.0,2.0,3004,-37.85391,144.98142,1.0
1260.0,2.0,3141,-37.83803,144.99813,2.0
910.0,1.0,3182,-37.85553,144.97476,2.0
3199.0,3.0,3006,-37.82296,144.96106,41.0
945.0,2.0,3050,-37.80511,144.95606,1.0
707.0,2.0,3055,-37.75719,144.95088,2.0
665.0,1.0,3056,-37.7685,144.96817,1.0
833.0,1.0,3000,-37.81061,144.96829,1.0
1162.0,1.0,3000,-37.81194,144.96212,2.0
2205.0,3.0,3008,-37.8144,144.9413,2.0
2100.0,2.0,3182,-37.866844177246094,144.9772491455078,3.0
1246.0,2.0,3006,-37.82806,144.9678,3.0
1239.0,2.0,3000,-37.80924,144.96678,5.0
623.0,1.0,3205,-37.83443,144.96872,1.0
1113.0,1.0,3182,-37.8708,144.97643,1.0
2632.0,1.0,3788,-37.85378,145.36288,5.0
1337.0,2.0,3777,-37.64988,145.53466,2.0
1687.0,4.0,3183,-37.8722,144.99637,30.0
