price,bedrooms,bathrooms,car_spaces,building_type,postcode
500.0,1.0,1,0,1,3000
400.0,1.0,1,0,1,3000
400.0,1.0,1,0,1,3000
1200.0,3.0,2,1,1,3000
625.0,2.0,1,1,1,3000
920.0,3.0,2,2,1,3000
410.0,1.0,1,0,1,3000
410.0,1.0,1,0,1,3000
950.0,2.0,2,1,1,3000
450.0,1.0,1,0,1,3000
600.0,3.0,1,1,1,3000
600.0,2.0,1,1,1,3000
820.0,2.0,2,1,1,3000
820.0,2.0,2,2,3,3000
400.0,1.0,1,0,1,3000
400.0,1.0,1,0,1,3000
1000.0,3.0,2,1,1,3000
600.0,2.0,1,0,1,3000
800.0,2.0,2,0,1,3000
600.0,2.0,1,0,1,3000
425.0,1.0,1,0,1,3000
470.0,1.0,1,0,1,3000
520.0,1.0,1,0,1,3000
520.0,1.0,1,0,1,3000
500.0,1.0,1,0,1,3000
580.0,2.0,1,0,1,3000
850.0,3.0,1,1,1,3000
475.0,1.0,1,0,1,3000
550.0,1.0,1,0,3,3000
525.0,1.0,1,0,1,3000
700.0,2.0,2,0,1,3000
400.0,1.0,1,0,1,3000
750.0,3.0,2,1,1,3000
450.0,1.0,1,0,1,3000
480.0,1.0,1,0,1,3000
450.0,1.0,1,0,1,3000
520.0,1.0,1,0,1,3000
650.0,1.0,1,1,1,3000
380.0,1.0,1,0,1,3000
450.0,1.0,1,0,1,3000
1200.0,2.0,2,2,1,3000
470.0,1.0,1,0,1,3000
545.0,1.0,1,1,1,3000
850.0,2.0,2,1,1,3000
675.0,2.0,1,0,1,3000
400.0,1.0,1,0,1,3000
600.0,2.0,1,0,1,3000
550.0,2.0,1,1,1,3000
650.0,2.0,1,1,1,3000
470.0,1.0,1,0,1,3000
815.0,2.0,2,0,1,3000
480.0,1.0,1,0,1,3000
580.0,2.0,1,0,1,3000
390.0,1.0,1,0,1,3000
620.0,1.0,1,0,1,3000
495.0,2.0,1,0,1,3000
680.0,2.0,1,0,1,3000
530.0,2.0,1,0,1,3000
530.0,1.0,1,0,1,3000
1295.0,2.0,2,2,1,3000
1950.0,3.0,2,2,1,3000
750.0,2.0,2,0,1,3000
695.0,2.0,2,1,1,3000
650.0,2.0,2,1,1,3000
445.0,1.0,1,0,1,3000
700.0,1.0,1,0,1,3000
500.0,1.0,1,0,1,3000
500.0,1.0,1,0,1,3000
670.0,2.0,1,0,1,3000
450.0,1.0,1,0,1,3000
595.0,2.0,1,0,1,3000
670.0,2.0,1,0,1,3000
435.0,1.0,1,1,1,3000
800.0,3.0,2,1,3,3000
650.0,2.0,1,0,1,3000
330.0,1.0,1,0,3,3000
450.0,1.0,1,0,1,3000
420.0,1.0,1,0,1,3000
410.0,1.0,1,0,1,3000
720.0,2.0,2,0,1,3000
795.0,2.0,2,1,1,3000
560.0,1.0,1,0,1,3000
495.0,2.0,1,0,1,3000
650.0,1.0,1,0,1,3000
990.0,2.0,2,0,1,3000
790.0,2.0,2,0,1,3000
680.0,2.0,1,0,1,3000
400.0,1.0,1,0,1,3000
395.0,1.0,1,0,1,3000
730.0,1.0,1,1,1,3000
410.0,1.0,1,0,1,3000
1150.0,3.0,2,1,1,3000
600.0,1.0,1,0,1,3000
750.0,2.0,1,0,1,3000
560.0,1.0,1,0,1,3000
1050.0,2.0,2,1,1,3000
700.0,2.0,2,1,1,3000
1015.0,2.0,2,0,1,3000
1000.0,2.0,2,0,1,3000
630.0,1.0,1,0,1,3000
1425.0,3.0,2,2,1,3000
500.0,1.0,1,0,1,3000
520.0,1.0,1,0,1,3000
1800.0,3.0,2,2,1,3000
4500.0,4.0,3,2,1,3000
650.0,1.0,1,0,1,3000
975.0,2.0,2,1,1,3000
1100.0,3.0,2,1,1,3000
675.0,2.0,1,0,1,3000
680.0,1.0,1,0,1,3000
580.0,1.0,1,0,3,3000
980.0,2.0,2,1,1,3000
720.0,2.0,1,1,1,3000
1300.0,3.0,2,1,1,3000
540.0,1.0,1,0,1,3000
680.0,2.0,1,0,1,3000
680.0,2.0,1,1,1,3000
700.0,2.0,1,1,1,3000
650.0,2.0,1,0,1,3000
430.0,1.0,1,0,1,3000
1450.0,3.0,3,2,1,3000
480.0,1.0,1,1,1,3000
900.0,2.0,2,0,1,3000
730.0,2.0,2,1,1,3000
570.0,1.0,1,1,1,3000
520.0,1.0,1,0,1,3000
650.0,2.0,1,1,1,3000
560.0,1.0,1,0,1,3000
650.0,1.0,1,0,1,3000
780.0,2.0,2,1,1,3000
610.0,1.0,1,0,1,3000
720.0,2.0,1,0,1,3000
500.0,1.0,1,1,1,3000
650.0,2.0,1,1,1,3000
720.0,2.0,1,0,1,3000
650.0,1.0,1,0,1,3000
800.0,2.0,1,0,1,3000
680.0,2.0,1,1,1,3000
500.0,1.0,1,0,1,3000
750.0,2.0,1,0,1,3000
620.0,1.0,1,0,1,3000
520.0,1.0,1,1,1,3000
780.0,2.0,2,0,1,3000
1000.0,3.0,1,2,1,3000
750.0,2.0,2,1,1,3000
650.0,2.0,1,0,1,3000
825.0,2.0,2,1,1,3000
800.0,2.0,2,0,1,3000
430.0,1.0,1,0,1,3000
850.0,2.0,2,0,1,3000
800.0,2.0,2,0,1,3000
430.0,1.0,1,0,1,3000
1000.0,3.0,2,2,1,3000
650.0,1.0,1,0,1,3000
880.0,2.0,2,0,1,3000
570.0,1.0,1,0,1,3000
750.0,2.0,1,0,1,3000
610.0,2.0,1,1,1,3000
600.0,2.0,1,0,1,3000
495.0,2.0,1,0,1,3000
620.0,2.0,1,0,1,3000
480.0,1.0,1,0,1,3000
950.0,3.0,2,0,1,3000
500.0,1.0,1,0,1,3000
480.0,1.0,1,0,1,3000
495.0,1.0,1,0,1,3000
450.0,1.0,1,0,1,3000
1000.0,3.0,2,2,1,3000
710.0,2.0,1,0,1,3000
650.0,1.0,1,0,1,3000
500.0,2.0,1,0,1,3000
880.0,3.0,2,0,1,3000
660.0,2.0,1,0,1,3000
830.0,2.0,2,1,1,3000
680.0,2.0,1,0,1,3000
780.0,2.0,2,1,1,3000
480.0,1.0,1,0,1,3000
450.0,1.0,1,0,1,3000
700.0,2.0,2,1,1,3000
650.0,1.0,1,1,1,3000
450.0,1.0,1,0,1,3000
670.0,2.0,1,0,1,3000
735.0,2.0,2,1,1,3000
850.0,2.0,2,0,1,3000
815.0,2.0,2,0,1,3000
450.0,1.0,1,0,1,3000
650.0,2.0,1,0,1,3000
430.0,1.0,1,0,1,3000
500.0,2.0,1,0,1,3000
660.0,2.0,2,0,1,3000
580.0,1.0,1,0,1,3000
500.0,1.0,1,1,1,3000
460.0,1.0,1,0,1,3000
950.0,2.0,2,1,1,3000
720.0,2.0,1,0,1,3000
700.0,2.0,1,1,1,3000
600.0,1.0,1,0,1,3000
550.0,1.0,1,0,1,3000
1500.0,3.0,2,1,1,3000
550.0,2.0,1,0,1,3000
750.0,2.0,2,1,1,3000
650.0,2.0,1,0,1,3000
950.0,3.0,2,2,1,3000
750.0,2.0,2,0,1,3000
800.0,2.0,2,0,1,3000
750.0,2.0,1,0,1,3000
750.0,2.0,1,0,1,3000
780.0,2.0,2,0,1,3000
750.0,2.0,2,0,1,3000
650.0,2.0,1,0,1,3000
690.0,2.0,2,0,1,3000
550.0,1.0,1,0,1,3000
800.0,2.0,2,1,1,3000
550.0,1.0,1,0,1,3000
630.0,1.0,1,0,1,3000
720.0,2.0,1,0,1,3000
360.0,1.0,1,0,1,3000
600.0,2.0,1,0,1,3000
1050.0,3.0,2,1,1,3000
550.0,1.0,1,0,1,3000
