,postcode,place_name,state_name,state_code,latitude,longitude,accuracy
5266,3500,Paringi,New South Wales,NSW,-34.1979,142.1515,3.0
5267,3644,Barooga,New South Wales,NSW,-35.906,145.6958,4.0
5268,3644,Lalalty,New South Wales,NSW,-35.9503,145.6546,3.0
5269,3691,Lake Hume Village,New South Wales,NSW,-36.2843,147.0692,3.0
5270,3707,Bringenbrong,New South Wales,NSW,-36.4104,147.9589,3.0
11712,3000,Melbourne,Victoria,VIC,-37.814,144.9633,4.0
11713,3001,Melbourne,Victoria,VIC,-37.814,144.9633,4.0
11714,3002,East Melbourne,Victoria,VIC,-37.8167,144.9879,4.0
11715,3003,West Melbourne,Victoria,VIC,-37.8101,144.95,4.0
11716,3004,Melbourne,Victoria,VIC,-37.814,144.9633,4.0
11717,3004,St Kilda Road Central,Victoria,VIC,-37.814,144.9633,3.0
11718,3004,St Kilda Road Melbourne,Victoria,VIC,-37.814,144.9633,3.0
11719,3005,World Trade Centre,Victoria,VIC,-37.8152,144.9632,1.0
11720,3006,South Wharf,Victoria,VIC,-37.8253,144.9522,4.0
11721,3006,Southbank,Victoria,VIC,-37.8228,144.9643,4.0
11722,3008,Docklands,Victoria,VIC,-37.8149,144.9505,4.0
11723,3010,University Of Melbourne,Victoria,VIC,-37.7958,144.9612,1.0
11724,3011,Seddon,Victoria,VIC,-37.8061,144.8907,4.0
11725,3011,Seddon West,Victoria,VIC,-37.7995,144.8963,3.0
11726,3011,Footscray,Victoria,VIC,-37.8,144.9,4.0
11727,3012,Maidstone,Victoria,VIC,-37.7803,144.8735,4.0
11728,3012,Tottenham,Victoria,VIC,-37.7985,144.8626,4.0
11729,3012,West Footscray,Victoria,VIC,-37.7975,144.8773,4.0
11730,3012,Brooklyn,Victoria,VIC,-37.8161,144.8415,4.0
11731,3012,Kingsville,Victoria,VIC,-37.8082,144.8791,4.0
11732,3013,Yarraville,Victoria,VIC,-37.8167,144.9,4.0
11733,3013,Yarraville West,Victoria,VIC,-37.8249,144.8708,3.0
11734,3015,Newport,Victoria,VIC,-37.8443,144.8848,4.0
11735,3015,Spotswood,Victoria,VIC,-37.8298,144.8852,4.0
11736,3015,South Kingsville,Victoria,VIC,-37.8302,144.8709,4.0
11737,3016,Williamstown North,Victoria,VIC,-37.8552,144.8826,4.0
11738,3016,Williamstown,Victoria,VIC,-37.857,144.8977,4.0
11739,3018,Seaholme,Victoria,VIC,-37.864,144.845,4.0
11740,3018,Altona,Victoria,VIC,-37.8696,144.8304,4.0
11741,3019,Braybrook,Victoria,VIC,-37.7867,144.8548,4.0
11742,3019,Robinson,Victoria,VIC,-37.7867,144.8548,3.0
11743,3020,Sunshine West,Victoria,VIC,-37.7912,144.8164,4.0
11744,3020,Albion,Victoria,VIC,-37.7667,144.8333,4.0
11745,3020,Glengala,Victoria,VIC,-37.775,144.8333,3.0
11746,3020,Sunshine North,Victoria,VIC,-37.7699,144.8279,4.0
11747,3020,Sunshine,Victoria,VIC,-37.7833,144.8333,4.0
11748,3021,Albanvale,Victoria,VIC,-37.7461,144.7686,4.0
11749,3021,St Albans,Victoria,VIC,-37.745,144.8005,4.0
11750,3021,Kealba,Victoria,VIC,-37.7371,144.8283,4.0
11751,3021,Kings Park,Victoria,VIC,-37.734,144.7777,4.0
11752,3022,Deer Park East,Victoria,VIC,-37.7764,144.8016,3.0
11753,3022,Ardeer,Victoria,VIC,-37.7759,144.8014,4.0
11754,3023,Deer Park,Victoria,VIC,-37.7667,144.7833,4.0
11755,3023,Ravenhall,Victoria,VIC,-37.7655,144.751,4.0
11756,3023,Deer Park North,Victoria,VIC,-37.7541,144.7651,3.0
11757,3023,Burnside,Victoria,VIC,-37.7494,144.753,4.0
11758,3023,Cairnlea,Victoria,VIC,-37.7593,144.7878,4.0
11759,3023,Burnside Heights,Victoria,VIC,-37.7269,144.7523,4.0
11760,3023,Caroline Springs,Victoria,VIC,-37.7412,144.7363,4.0
11761,3024,Wyndham Vale,Victoria,VIC,-37.8415,144.541,4.0
11762,3024,Mount Cottrell,Victoria,VIC,-37.8167,144.5833,4.0
11763,3024,Mambourin,Victoria,VIC,-37.8755,144.5032,4.0
11764,3025,Altona North,Victoria,VIC,-37.8349,144.8474,4.0
11765,3025,Altona Gate,Victoria,VIC,-37.8349,144.8474,3.0
11766,3025,Altona East,Victoria,VIC,-37.8349,144.8474,3.0
11767,3026,Laverton North,Victoria,VIC,-37.8205,144.8159,4.0
11768,3027,Williams Landing,Victoria,VIC,-37.8619,144.7437,4.0
11769,3028,Altona Meadows,Victoria,VIC,-37.8841,144.7837,4.0
11770,3028,Laverton,Victoria,VIC,-37.862,144.7698,4.0
11771,3028,Seabrook,Victoria,VIC,-37.8809,144.7587,4.0
11772,3029,Truganina,Victoria,VIC,-37.8167,144.75,4.0
11773,3029,Hoppers Crossing,Victoria,VIC,-37.8826,144.7003,4.0
11774,3029,Tarneit,Victoria,VIC,-37.8667,144.6667,4.0
11775,3030,Point Cook,Victoria,VIC,-37.9148,144.7509,4.0
11776,3030,Quandong,Victoria,VIC,-37.8139,144.4951,4.0
11777,3030,Werribee,Victoria,VIC,-37.9,144.6667,4.0
11778,3030,Derrimut,Victoria,VIC,-37.7924,144.7699,4.0
11779,3030,Cocoroc,Victoria,VIC,-37.9728,144.5643,4.0
11780,3030,Werribee South,Victoria,VIC,-37.9475,144.7167,4.0
11781,3031,Flemington,Victoria,VIC,-37.7882,144.93,4.0
11782,3031,Kensington,Victoria,VIC,-37.7833,144.9333,4.0
11783,3032,Maribyrnong,Victoria,VIC,-37.7833,144.8833,4.0
11784,3032,Highpoint City,Victoria,VIC,-37.7747,144.8999,3.0
11785,3032,Travancore,Victoria,VIC,-37.7808,144.9354,4.0
11786,3032,Ascot Vale,Victoria,VIC,-37.7833,144.9167,4.0
11787,3033,Keilor East,Victoria,VIC,-37.7326,144.865,4.0
11788,3034,Avondale Heights,Victoria,VIC,-37.7616,144.8626,4.0
11789,3036,Keilor North,Victoria,VIC,-37.6963,144.8047,4.0
11790,3036,Keilor,Victoria,VIC,-37.7167,144.8333,4.0
11791,3037,Hillside,Victoria,VIC,-37.6905,144.7417,4.0
11792,3037,Calder Park,Victoria,VIC,-37.6798,144.7611,4.0
11793,3037,Sydenham,Victoria,VIC,-37.7,144.7667,4.0
11794,3037,Taylors Hill,Victoria,VIC,-37.7099,144.7548,4.0
11795,3037,Delahey,Victoria,VIC,-37.7198,144.7773,4.0
11796,3038,Keilor Downs,Victoria,VIC,-37.7234,144.8084,4.0
11797,3038,Watergardens,Victoria,VIC,-37.6986,144.7863,3.0
11798,3038,Taylors Lakes,Victoria,VIC,-37.6986,144.7863,4.0
11799,3038,Keilor Lodge,Victoria,VIC,-37.7,144.8033,4.0
11800,3039,Moonee Ponds,Victoria,VIC,-37.7667,144.9167,4.0
11801,3040,Essendon,Victoria,VIC,-37.7667,144.9167,4.0
11802,3040,Aberfeldie,Victoria,VIC,-37.7596,144.8974,4.0
11803,3040,Essendon West,Victoria,VIC,-37.7576,144.879,4.0
11804,3041,Strathmore,Victoria,VIC,-37.6333,142.4833,4.0
11805,3041,Strathmore Heights,Victoria,VIC,-37.7133,144.8969,4.0
11806,3041,Essendon North,Victoria,VIC,-37.7422,144.9055,4.0
11807,3041,Essendon Fields,Victoria,VIC,-37.7245,144.8989,4.0
11808,3041,Cross Keys,Victoria,VIC,-37.7133,144.8969,3.0
11809,3042,Keilor Park,Victoria,VIC,-37.7203,144.8542,4.0
11810,3042,Niddrie North,Victoria,VIC,-37.7311,144.8867,3.0
11811,3042,Airport West,Victoria,VIC,-37.7247,144.8813,4.0
11812,3042,Niddrie,Victoria,VIC,-37.7375,144.8921,4.0
11813,3043,Gowanbrae,Victoria,VIC,-37.7082,144.8908,4.0
11814,3043,Tullamarine,Victoria,VIC,-37.7013,144.881,4.0
11815,3043,Gladstone Park,Victoria,VIC,-37.6874,144.8868,4.0
11816,3044,Pascoe Vale,Victoria,VIC,-37.7333,144.9333,4.0
11817,3044,Pascoe Vale South,Victoria,VIC,-37.7397,144.9461,4.0
11818,3045,Melbourne Airport,Victoria,VIC,-37.6743,144.8518,4.0
11819,3046,Oak Park,Victoria,VIC,-37.7184,144.9195,4.0
11820,3046,Glenroy,Victoria,VIC,-37.7,144.9333,4.0
11821,3046,Hadfield,Victoria,VIC,-37.7073,144.9416,4.0
11822,3047,Dallas,Victoria,VIC,-37.6708,144.9354,4.0
11823,3047,Broadmeadows,Victoria,VIC,-37.6802,144.9188,4.0
11824,3047,Jacana,Victoria,VIC,-37.6878,144.9111,4.0
11825,3048,Coolaroo,Victoria,VIC,-37.6568,144.9346,4.0
11826,3048,Meadow Heights,Victoria,VIC,-37.6512,144.9186,4.0
11827,3049,Westmeadows,Victoria,VIC,-37.676,144.887,4.0
11828,3049,Attwood,Victoria,VIC,-37.6696,144.8868,4.0
11829,3050,Royal Melbourne Hospital,Victoria,VIC,-37.7981,144.9555,1.0
11830,3051,North Melbourne,Victoria,VIC,-37.8,144.9667,4.0
11831,3051,Hotham Hill,Victoria,VIC,-37.7984,144.9449,3.0
11832,3052,Parkville,Victoria,VIC,-37.7833,144.95,4.0
11833,3052,Melbourne University,Victoria,VIC,-37.7603,144.9502,3.0
11834,3053,Carlton,Victoria,VIC,-37.8,144.9667,4.0
11835,3053,Carlton South,Victoria,VIC,-37.8004,144.9681,3.0
11836,3054,Princes Hill,Victoria,VIC,-37.7818,144.9666,4.0
11837,3054,Carlton North,Victoria,VIC,-37.7833,144.9667,4.0
11838,3055,Brunswick South,Victoria,VIC,-37.7603,144.9502,3.0
11839,3055,Brunswick West,Victoria,VIC,-37.7646,144.9438,4.0
11840,3055,Moreland West,Victoria,VIC,-37.7603,144.9502,3.0
11841,3055,Moonee Vale,Victoria,VIC,-37.7603,144.9502,3.0
11842,3056,Brunswick,Victoria,VIC,-37.7667,144.9667,4.0
11843,3056,Brunswick North,Victoria,VIC,-37.7667,144.9667,3.0
11844,3056,Brunswick Lower,Victoria,VIC,-37.7667,144.9667,3.0
11845,3057,Sumner,Victoria,VIC,-37.7603,144.9502,3.0
11846,3057,Brunswick East,Victoria,VIC,-37.7725,144.9724,4.0
11847,3058,Coburg North,Victoria,VIC,-37.7287,144.9613,4.0
11848,3058,Moreland,Victoria,VIC,-37.7603,144.9502,3.0
11849,3058,Batman,Victoria,VIC,-37.75,144.9667,3.0
11850,3058,Merlynston,Victoria,VIC,-37.7603,144.9502,3.0
11851,3058,Coburg,Victoria,VIC,-37.75,144.9667,4.0
11852,3059,Greenvale,Victoria,VIC,-37.6333,144.8667,4.0
11853,3060,Fawkner,Victoria,VIC,-37.7167,144.9667,4.0
11854,3061,Campbellfield,Victoria,VIC,-37.6833,144.95,4.0
11855,3062,Somerton,Victoria,VIC,-37.65,144.9333,4.0
11856,3063,Yuroke,Victoria,VIC,-37.5911,144.8782,4.0
11857,3063,Oaklands Junction,Victoria,VIC,-37.615,144.8434,4.0
11858,3064,Kalkallo,Victoria,VIC,-37.5333,144.95,4.0
11859,3064,Mickleham,Victoria,VIC,-37.5366,144.902,4.0
11860,3064,Donnybrook,Victoria,VIC,-37.5333,144.9833,4.0
11861,3064,Roxburgh Park,Victoria,VIC,-37.6258,144.9255,4.0
11862,3064,Craigieburn,Victoria,VIC,-37.6,144.95,4.0
11863,3065,Fitzroy,Victoria,VIC,-37.7984,144.9783,4.0
11864,3066,Collingwood,Victoria,VIC,-37.8,144.9833,4.0
11865,3066,Collingwood North,Victoria,VIC,-37.8,144.9833,3.0
11866,3067,Abbotsford,Victoria,VIC,-37.8,145.0,4.0
11867,3068,Fitzroy North,Victoria,VIC,-37.7886,144.9788,4.0
11868,3068,Clifton Hill,Victoria,VIC,-37.7904,144.9975,4.0
11869,3070,Northcote South,Victoria,VIC,-37.7667,145.0,3.0
11870,3070,Northcote,Victoria,VIC,-37.7667,145.0,4.0
11871,3071,Thornbury,Victoria,VIC,-37.75,145.0,4.0
11872,3072,Preston,Victoria,VIC,-37.75,145.0167,4.0
11873,3072,Regent West,Victoria,VIC,-37.7241,145.0179,3.0
11874,3072,Gilberton,Victoria,VIC,-37.75,145.0167,3.0
11875,3072,Preston South,Victoria,VIC,-37.7241,145.0179,3.0
11876,3072,Preston West,Victoria,VIC,-37.75,145.0167,3.0
11877,3072,Northland Centre,Victoria,VIC,-37.7241,145.0179,3.0
11878,3072,Preston Lower,Victoria,VIC,-37.75,145.0167,3.0
11879,3073,Reservoir,Victoria,VIC,-37.7167,145.0,4.0
11880,3073,Keon Park,Victoria,VIC,-37.7,145.0167,4.0
11881,3074,Thomastown,Victoria,VIC,-37.6833,145.0167,4.0
11882,3075,Lalor,Victoria,VIC,-37.6667,145.0167,4.0
11883,3076,Epping Dc,Victoria,VIC,-37.6307,145.006,3.0
11884,3076,Epping,Victoria,VIC,-37.65,145.0333,4.0
11885,3078,Alphington,Victoria,VIC,-37.7804,145.0309,4.0
11886,3078,Fairfield,Victoria,VIC,-37.7798,145.0176,4.0
11887,3079,Ivanhoe,Victoria,VIC,-37.769,145.0431,4.0
11888,3079,Ivanhoe East,Victoria,VIC,-37.7832,145.0525,4.0
11889,3079,Ivanhoe North,Victoria,VIC,-37.769,145.0431,3.0
11890,3081,Heidelberg West,Victoria,VIC,-37.75,145.0333,4.0
11891,3081,Heidelberg Rgh,Victoria,VIC,-37.743,145.0464,3.0
11892,3081,Bellfield,Victoria,VIC,-37.7531,145.0385,4.0
11893,3081,Heidelberg Heights,Victoria,VIC,-37.7431,145.057,4.0
11894,3082,Mill Park,Victoria,VIC,-37.6667,145.0667,4.0
11895,3083,Kingsbury,Victoria,VIC,-37.7141,145.0351,4.0
11896,3083,Bundoora,Victoria,VIC,-37.6982,145.0597,4.0
11897,3083,La Trobe University,Victoria,VIC,-37.7062,145.0474,3.0
11898,3084,Viewbank,Victoria,VIC,-37.7399,145.0932,4.0
11899,3084,Banyule,Victoria,VIC,-37.7464,145.0771,3.0
11900,3084,Rosanna,Victoria,VIC,-37.7396,145.0697,4.0
11901,3084,Heidelberg,Victoria,VIC,-37.75,145.0667,4.0
11902,3084,Eaglemont,Victoria,VIC,-37.7638,145.0638,4.0
11903,3085,Yallambie,Victoria,VIC,-37.7251,145.0935,4.0
11904,3085,Macleod West,Victoria,VIC,-37.7228,145.0817,3.0
11905,3085,Macleod,Victoria,VIC,-37.7204,145.0698,4.0
11906,3086,La Trobe University,Victoria,VIC,-37.7173,145.0826,1.0
11907,3087,Watsonia North,Victoria,VIC,-37.6998,145.0847,4.0
11908,3087,Watsonia,Victoria,VIC,-37.7167,145.0833,4.0
11909,3088,Saint Helena,Victoria,VIC,-37.7,145.1333,4.0
11910,3088,Briar Hill,Victoria,VIC,-37.7167,145.1167,4.0
11911,3088,Greensborough,Victoria,VIC,-37.7046,145.103,4.0
11912,3088,St Helena,Victoria,VIC,-37.6895,145.1296,4.0
11913,3089,Diamond Creek,Victoria,VIC,-37.6667,145.15,4.0
11914,3090,Plenty,Victoria,VIC,-37.6667,145.1167,4.0
11915,3091,Yarrambat,Victoria,VIC,-37.6375,145.1349,4.0
11916,3093,Lower Plenty,Victoria,VIC,-37.7333,145.1167,4.0
11917,3094,Montmorency,Victoria,VIC,-37.7167,145.1167,4.0
11918,3095,Research,Victoria,VIC,-37.7,145.1833,4.0
11919,3095,Eltham,Victoria,VIC,-37.7333,145.15,4.0
11920,3095,Eltham North,Victoria,VIC,-37.7,145.15,4.0
11921,3096,Wattle Glen,Victoria,VIC,-37.6667,145.1833,4.0
11922,3097,Bend Of Islands,Victoria,VIC,-37.7008,145.2848,4.0
11923,3097,Kangaroo Ground,Victoria,VIC,-37.6892,145.2317,4.0
